Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
31,1,19,0,5390,4,2,3,2,0,22,3,1,0,2,2,89,0,0,0,4,2,1
59,0,4,3,5534,1,3,1,3,0,21,4,0,3,2,2,21,0,0,0,2,1,1
24,0,10,2,8159,3,3,1,0,0,11,2,1,3,2,2,74,0,0,0,1,1,1
36,0,7,0,3989,3,3,4,1,0,27,1,2,2,2,1,50,1,0,0,3,2,1
56,1,41,0,4821,2,4,3,0,1,71,1,0,0,3,2,68,0,0,0,2,2,1
38,0,3,4,9977,2,3,2,3,0,37,2,1,0,2,2,47,0,0,1,2,3,0
47,1,23,0,3681,2,3,4,1,1,75,1,0,3,1,1,93,0,0,0,3,2,0
48,1,16,1,11223,4,4,4,2,0,5,4,1,4,1,2,88,0,0,0,4,1,1
57,1,44,0,3773,3,2,4,1,1,39,1,1,4,1,2,75,0,0,0,2,2,1
24,0,1,2,7319,1,3,3,1,1,57,5,2,4,1,3,45,0,0,1,3,1,0
30,0,12,0,5443,3,3,3,1,0,51,1,2,1,1,1,17,0,0,0,3,2,0
29,0,6,2,8950,1,2,1,2,0,26,4,2,0,2,2,38,0,0,0,1,2,0
47,0,38,4,9039,2,4,4,1,0,78,3,1,0,1,1,68,0,0,0,3,1,0
31,1,22,2,8090,2,2,4,4,1,30,3,0,2,2,1,84,0,0,0,3,2,1
40,0,30,4,6350,3,3,3,0,0,98,1,2,0,3,3,96,0,0,0,3,3,1
40,0,4,1,5176,1,3,3,0,0,48,1,2,0,1,1,21,1,0,0,3,3,0
19,0,9,4,8242,4,2,3,2,1,17,1,2,3,2,1,63,0,0,0,2,3,0
33,0,1,1,8733,3,3,2,1,1,86,1,2,0,2,1,19,0,0,0,3,1,1
49,0,37,3,6252,2,3,4,2,0,60,2,0,4,3,2,70,0,0,0,3,3,1
29,1,9,2,7538,2,2,3,0,0,10,2,1,0,3,1,76,0,0,0,3,3,1
51,0,41,1,8733,3,3,3,2,1,18,4,0,3,2,1,72,0,0,0,3,3,1
57,0,33,2,8201,3,4,3,0,0,95,5,1,1,2,2,95,0,0,0,2,2,1
39,0,1,1,8079,4,3,4,1,0,23,4,2,0,1,2,20,0,0,0,1,1,0
36,1,13,3,5874,2,3,3,0,0,16,1,2,1,2,2,40,0,0,0,3,3,0
54,1,5,0,4656,3,2,3,0,1,63,1,2,0,2,2,60,0,0,0,3,1,0
48,1,9,0,4987,2,3,3,1,0,92,3,0,0,1,2,23,0,0,1,3,2,0
23,1,13,4,12507,2,3,4,0,0,86,1,2,1,2,2,83,0,0,1,3,1,1
45,0,21,2,7571,3,4,3,1,1,30,3,1,1,1,1,67,1,0,0,2,2,1
48,1,32,0,3535,3,2,3,0,1,48,2,1,0,3,2,84,0,0,0,3,1,1
45,0,34,1,8330,4,3,3,0,1,58,2,1,4,2,2,91,1,0,0,3,3,1
24,1,11,2,6334,3,3,3,0,1,55,2,0,2,3,1,28,0,0,1,3,2,1
42,1,1,4,8874,3,2,3,1,0,31,3,0,2,1,1,27,0,0,0,1,4,1
53,1,44,2,7364,1,2,3,1,0,92,3,1,0,2,1,55,0,1,0,3,3,0
